text,label
kindly confirm your bank details for settlement kindly respond,bank_details_request
please send the invoice for last month urgent,invoice_request
"your account is overdue, settle the invoice urgently please treat as priority",payment_overdue
please provide your iban or bank information,bank_details_request
can you provide the invoice for this transaction? please treat as priority,invoice_request
"your payment is overdue, please settle immediately please assist",payment_overdue
"i did not receive the invoice, please share it urgent",invoice_request
please send the invoice for last month please assist waiting for your feedback,invoice_request
please clarify the charges on the invoice please treat as priority this is important,general_finance_inquiry
can you provide the invoice for this transaction? this is important waiting for your feedback,invoice_request
we have a question regarding your pricing and billing thanks,general_finance_inquiry
"the invoice has been settled, see payment slip attached asap please treat as priority",payment_confirmed
we have a question regarding your pricing and billing waiting for your feedback,general_finance_inquiry
can you share your finance department contact?,general_finance_inquiry
we have a question regarding your pricing and billing thanks,general_finance_inquiry
"the invoice has been settled, see payment slip attached",payment_confirmed
we have completed payment for invoice number 2040 thanks,payment_confirmed
kindly send your account number and bank name urgent,bank_details_request
kindly confirm you received the payment,payment_confirmed
kindly resend the invoice document please assist,invoice_request
"we have paid the invoice, kindly confirm receipt please assist",payment_confirmed
please send the invoice for last month kindly respond,invoice_request
can you confirm the total outstanding balance?,general_finance_inquiry
what is the due date for this invoice? please assist,general_finance_inquiry
kindly send your account number and bank name,bank_details_request
please provide your iban or bank information please assist,bank_details_request
kindly explain the breakdown of charges kindly respond,general_finance_inquiry
kindly resend the invoice document please treat as priority this is important,invoice_request
"your account is overdue, settle the invoice urgently please assist please treat as priority",payment_overdue
this is a reminder that your invoice is past due this is important,payment_overdue
"i did not receive the invoice, please share it kindly respond urgent",invoice_request
invoice remains unpaid despite previous reminders thanks,payment_overdue
"i did not receive the invoice, please share it asap",invoice_request
where should we transfer the payment? send bank details,bank_details_request
where should we transfer the payment? send bank details,bank_details_request
we have a question regarding your pricing and billing please treat as priority,general_finance_inquiry
can you share your finance department contact?,general_finance_inquiry
this is a reminder that your invoice is past due please assist kindly respond,payment_overdue
"we have paid the invoice, kindly confirm receipt thanks thanks",payment_confirmed
kindly confirm you received the payment waiting for your feedback urgent,payment_confirmed
this is a reminder that your invoice is past due thanks waiting for your feedback,payment_overdue
where should we transfer the payment? send bank details please assist urgent,bank_details_request
"we have paid the invoice, kindly confirm receipt urgent urgent",payment_confirmed
please note your outstanding balance is overdue asap,payment_overdue
we have a question regarding your pricing and billing urgent,general_finance_inquiry
"i did not receive the invoice, please share it thanks asap",invoice_request
kindly confirm your bank details for settlement waiting for your feedback,bank_details_request
"we have paid the invoice, kindly confirm receipt",payment_confirmed
"we have not received payment, kindly pay as soon as possible waiting for your feedback",payment_overdue
attached is proof of payment for the invoice thanks,payment_confirmed
